presidency_number,person_id,name,party,birth_date,death_date,term_start,term_end,incumbent,days_in_office,age_at_start_years,age_at_start_days,age_at_start_exact,age_at_end_years,age_at_end_days,age_at_end_exact,note
19,rbhayes,Rutherford B. Hayes,Republican,1822-10-04,1893-01-17,1877-03-04,1881-03-04,FALSE,1461,54,151,54.4159,58,151,58.416,"Took the oath privately Mar 3, 1877; public ceremony Mar 5"
20,jagarfield,James A. Garfield,Republican,1831-11-19,1881-09-19,1881-03-04,1881-09-19,FALSE,199,49,105,49.2905,49,304,49.8354,"Shot July 2, 1881; in office but incapacitated on July 4; died Sept 19"
21,caarthur,Chester A. Arthur,Republican,1829-10-05,1886-11-18,1881-09-19,1885-03-04,FALSE,1262,51,349,51.9573,55,150,55.4125,
22,gcleveland,Grover Cleveland,Democratic,1837-03-18,1908-06-24,1885-03-04,1889-03-04,FALSE,1461,47,351,47.9627,51,351,51.9627,First of two non-consecutive terms
23,bharrison,Benjamin Harrison,Republican,1833-08-20,1901-03-13,1889-03-04,1893-03-04,FALSE,1461,55,196,55.5384,59,196,59.5385,
24,gcleveland,Grover Cleveland,Democratic,1837-03-18,1908-06-24,1893-03-04,1897-03-04,FALSE,1461,55,351,55.9628,59,351,59.9629,Second of two non-consecutive terms
25,wmckinley,William McKinley,Republican,1843-01-29,1901-09-14,1897-03-04,1901-09-14,FALSE,1654,54,34,54.0956,58,228,58.6241,Assassinated in office
26,troosevelt,Theodore Roosevelt,Republican,1858-10-27,1919-01-06,1901-09-14,1909-03-04,FALSE,2728,42,322,42.8811,50,128,50.3501,"Took office at 42, youngest ever; had turned 43 by his first July 4 in office"
27,whtaft,William Howard Taft,Republican,1857-09-15,1930-03-08,1909-03-04,1913-03-04,FALSE,1461,51,170,51.4644,55,170,55.4645,
28,wwilson,Woodrow Wilson,Democratic,1856-12-28,1924-02-03,1913-03-04,1921-03-04,FALSE,2922,56,66,56.1791,64,66,64.1793,
29,wgharding,Warren G. Harding,Republican,1865-11-02,1923-08-02,1921-03-04,1923-08-02,FALSE,881,55,122,55.3331,57,273,57.7452,Died in office
30,ccoolidge,Calvin Coolidge,Republican,1872-07-04,1933-01-05,1923-08-02,1929-03-04,FALSE,2041,51,29,51.0757,56,243,56.6637,Born on July 4; the only president whose birthday coincides with the sample date
31,hchoover,Herbert Hoover,Republican,1874-08-10,1964-10-20,1929-03-04,1933-03-04,FALSE,1461,54,206,54.5637,58,206,58.5638,
32,fdroosevelt,Franklin D. Roosevelt,Democratic,1882-01-30,1945-04-12,1933-03-04,1945-04-12,FALSE,4422,51,33,51.0893,63,72,63.1964,"Died in office; longest tenure, 12 July 4ths"
33,hstruman,Harry S. Truman,Democratic,1884-05-08,1972-12-26,1945-04-12,1953-01-20,FALSE,2840,60,339,60.9266,68,257,68.7023,
34,ddeisenhower,Dwight D. Eisenhower,Republican,1890-10-14,1969-03-28,1953-01-20,1961-01-20,FALSE,2922,62,98,62.2682,70,98,70.2684,
35,jfkennedy,John F. Kennedy,Democratic,1917-05-29,1963-11-22,1961-01-20,1963-11-22,FALSE,1036,43,236,43.6477,46,177,46.4842,Assassinated in office
36,lbjohnson,Lyndon B. Johnson,Democratic,1908-08-27,1973-01-22,1963-11-22,1969-01-20,FALSE,1886,55,87,55.2373,60,146,60.401,
37,rmnixon,Richard Nixon,Republican,1913-01-09,1994-04-22,1969-01-20,1974-08-09,FALSE,2027,56,11,56.0313,61,212,61.581,Resigned
38,grford,Gerald Ford,Republican,1913-07-14,2006-12-26,1974-08-09,1977-01-20,FALSE,895,61,26,61.0718,63,190,63.5222,Never elected president or vice president
39,jecarter,Jimmy Carter,Democratic,1924-10-01,2024-12-29,1977-01-20,1981-01-20,FALSE,1461,52,111,52.305,56,111,56.3051,
40,rwreagan,Ronald Reagan,Republican,1911-02-06,2004-06-05,1981-01-20,1989-01-20,FALSE,2922,69,349,69.9563,77,349,77.9564,
41,ghbush,George H. W. Bush,Republican,1924-06-12,2018-11-30,1989-01-20,1993-01-20,FALSE,1461,64,222,64.6091,68,222,68.6092,
42,wjclinton,Bill Clinton,Democratic,1946-08-19,,1993-01-20,2001-01-20,FALSE,2922,46,154,46.424,54,154,54.4241,
43,gwbush,George W. Bush,Republican,1946-07-06,,2001-01-20,2009-01-20,FALSE,2922,54,198,54.5446,62,198,62.5447,
44,bhobama,Barack Obama,Democratic,1961-08-04,,2009-01-20,2017-01-20,FALSE,2922,47,169,47.4644,55,169,55.4645,
45,djtrump,Donald Trump,Republican,1946-06-14,,2017-01-20,2021-01-20,FALSE,1461,70,220,70.6051,74,220,74.6052,First of two non-consecutive terms
46,jrbiden,Joe Biden,Democratic,1942-11-20,,2021-01-20,2025-01-20,FALSE,1461,78,61,78.17,82,61,82.1701,
47,djtrump,Donald Trump,Republican,1946-06-14,,2025-01-20,,TRUE,568,78,220,78.6053,80,58,80.1604,Second of two non-consecutive terms; incumbent
